id,liz001,liz002,liz003,liz004,liz005,liz006,liz007,liz008,liz009,liz010,liz011,liz012,liz013,liz014,liz015,liz016,liz017,liz018,liz019,liz020,liz021,liz022,liz023,liz024,liz025,liz026,liz027,liz028,liz029,liz030,liz031,liz032,liz033,liz034,liz035,liz036,liz037,liz038,liz039,liz040,liz041,liz042,liz043,liz044,liz045,liz046,liz047,liz048,liz049,liz050,liz051,liz052,liz053,liz054,liz055,liz056,liz057,liz058,liz059,liz060,liz061,liz062,liz063,liz064,liz065,liz066,liz067,liz068,liz069,liz070,liz071,liz072,liz073,liz074,liz075,liz076,liz077,liz078,liz079,liz080,liz081,liz082,liz083,liz084,liz085,liz086,liz087,liz088,liz089,liz090,liz091,liz092,liz093,liz094,liz095,liz096
LIZ1_000391950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIZ1_000392033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIZ1_000000210,11,0,0,0,1,0,0,0,73,0,1,0,0,0,0,0,150,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,939,0,107,0,0,0,0,0,631,0,122,0,0,0,0,0,345,0,313,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIZ1_000003393,2,266,553,0,456,1832,68,8,7,176,587,11,380,480,39,7,6,115,748,3,253,598,15,0,9,190,173,0,64,3,396,250,0,146,131,0,63,0,164,61,0,76,75,1,63,0,482,148,8,27,8,175,6,121,6,2,5,45,4,484,10,205,4,1,16,43,6,134,7,213,15,1,9,893,276,10,639,83,187,0,0,743,436,16,507,151,146,0,12,705,430,2,650,47,212,1
LIZ1_000000001,2262,3719,109,5,184,4,3,5840,27385,2094,168,11,195,2,2,5740,20707,2863,171,17,132,5,6,4421,3,6,2,3,8,6,3,4080,0,3,11,0,5,49,3,3310,1,3,2,4,4,8,7,3409,4,28,134,4,22520,8,4373,9,2,6,36,15,21910,13,8728,3,17,6,99,2,9944,44,7795,1,14855,97,6306,13941,2,3,36,0,9839,19,6966,28560,1,6,32,1,25367,21,10528,21683,4,2,68,1
LIZ1_000004467,1,94,2,209,0,1153,58,4,10,212,6,533,4,2104,15,1,11,302,5,801,4,4508,13,2,2,45864,16818,13,267,62,9,8,5,31786,20843,138,250,90,19,6,3,41283,14991,58,330,138,9,12,944,3087,71,9416,1,1957,1,3,348,5358,33,15283,1,1850,4,6,551,842,35,11176,2,3111,3,5,83,4475,3,12,244,3810,1,0,31,14469,18,29,241,3114,2,1,91,3158,28,22,382,4037,4,1
LIZ1_000000451,3,5,23781,1,11208,1092,189,4,8,2,34473,20,12480,477,34,6,4,5,55154,44,7768,1134,100,4,0,186,881,1,27,16,6574,123,3,122,812,8,60,24,2312,51,4,139,629,4,43,11,4712,89,44,102,4,230,9,743,4,5,10,198,3,247,14,1041,9,9,13,41,4,162,9,1328,8,5,7,10475,8,3,2406,226,20409,2,5,12167,12,7,2707,183,19718,0,4,7598,0,4,3479,149,10259,1
LIZ1_000004362,2,5,1,0,1,22,16,266,1,5408,1,38,2,18,34,223,0,64,1,51,1,23,15,278,0,0,10,0,19,15,26,16980,0,2,5,0,36,15,0,91648,1,1,11,1,19,41,0,78993,0,0,0,1,66,111,186,2,1,1,2,0,79,137,4731,0,2,2,88,0,35,220,54625,0,91,1,89,189,9,0,0,0,69,1,173,354,2,1,0,0,382,3,241,182,4,1,1,1
LIZ1_000000999,3,78,5,5687,3,1190,27,1,2,166,5,13988,3,676,24,1,1,126,7,19810,2,2257,52,1,2,7679,18847,2,11,1671,43,37,13,6060,29770,16,19,1779,14,16,1,10122,22105,11,16,2224,32,22,19520,40,9,7339,2,7312,4,8,7661,23,6,8295,2,3139,3,7,13145,18,5,9959,2,5185,1,5,2,236,19,2,62,2406,1,1,3,284,90,1,60,1228,2,0,4,328,65,2,160,2628,0,0
LIZ1_000000222,11,1592,888,341,842,2811,36,33,361,3196,1685,859,1572,2837,24,70,197,2483,1459,1260,934,2881,114,46,0,4226,2135,2,404,87,362,1116,50,3265,4324,89,435,178,202,435,17,2764,3516,63,471,66,226,1395,452,1121,583,5418,65,908,20,93,165,1423,181,9784,133,1337,44,12,402,559,551,8780,47,1455,53,6,86,8105,4005,148,4018,400,106,0,39,12987,2201,219,2754,634,106,3,152,6672,7335,240,6023,861,121,1
LIZ1_000382564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,32,0,0,0,0,0,1,0,7,0,0,0,0,0
LIZ1_000389024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIZ1_000000311,7,0,59,245,407,5,15633,5,1,4,154,201,381,3,11745,1,3,4,174,294,355,1,12154,1,2,613,6,4,32095,30,4,127,2,505,17,31,38235,39,32,42,3,649,2,58,24616,37,35,30,39,21805,1,6278,1,1,3,30,13,21431,0,5030,6,2,3,1,29,10780,1,5193,3,8,1,22,8,16,6,11,19,2504,491,1,4,13,13,29,10,3072,368,2,14,31,11,15,8,3527,471,3
LIZ1_000000003,2570,11,408,0,420,492,331,7,17723,12,1264,38,535,448,237,3,41194,4,781,28,461,630,276,21,13,682,942,46,395,19,2332,76,16,282,848,75,393,23,1164,37,26,350,1052,123,316,21,2531,80,13,822,73,476,18526,313,5075,24,20,1248,78,489,27079,514,9760,15,20,683,155,504,16449,543,15423,29,13,2358,27,17,2441,183,432,0,12,3291,32,40,1530,298,275,3,23,2068,68,20,2621,580,852,0
LIZ1_000000012,489,1516,371,532,460,3050,63,428,14786,1307,297,1799,848,1559,134,462,17261,2171,297,2389,346,4349,189,639,8,377,1271,4,954,191,46,1981,58,300,842,160,963,290,41,776,24,266,871,174,1277,121,104,1752,971,483,566,701,3943,884,525,12,175,611,145,823,11408,973,740,2,608,556,610,590,15162,1303,1201,19,6082,258,3528,7396,522,248,123,1,2556,387,6372,5587,398,241,63,0,3694,192,6922,10613,469,508,28,0
LIZ1_000391560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIZ1_000000837,3,46,3,9030,4,1481,14,0,0,70,2,35235,2,1333,0,0,2,61,5,27306,0,2017,0,4,792,35,188,2482,7,3037,6,235,5617,15,186,27338,8,2832,2,90,982,33,216,35202,8,3704,16,111,6487,5,6,246,1,1045,2,3146,2065,5,3,247,1,1312,3,1092,7282,3,4,174,1,1330,0,1825,4,9,115,0,40,191,0,1,4,12,295,6,39,287,3,1,14,17,457,3,15,137,5,0
LIZ1_000382124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIZ1_000000380,5,13,1209,2879,1048,904,747,10,10,13,2527,4759,1062,725,539,6,64,12,2424,4508,1030,1286,501,4,2,2985,441,0,497,3670,751,62,4,1875,647,9,615,2988,457,2,4,2358,684,3,484,4101,786,29,1146,535,36,21112,15,1249,6,17,436,539,26,20571,11,1120,14,6,1432,488,34,17606,9,1966,13,6,88,559,3,5,945,13938,1573,0,23,535,2,12,735,15893,990,1,57,658,10,11,1087,14859,1998,2
LIZ1_000386703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIZ1_000005344,4,121,186,284,912,690,89,25,7,126,845,955,1118,875,186,33,8,132,2859,1240,1039,3891,54,30,4,1928,1237,35,1032,774,512,155,43,1718,1326,442,1000,750,222,77,8,5231,778,529,1176,1171,1068,55,129,216,66,4562,105,1919,7,300,70,232,87,3606,51,906,11,135,141,201,37,2848,17,1581,26,212,34,1762,45,155,3279,2106,303,1,14,1435,285,405,2647,2189,250,2,16,2091,120,179,4198,1237,2493,0
LIZ1_000000572,5,15,774,261,946,635,190,5,8,27,1866,211,1092,373,97,8,14,13,1432,353,763,608,137,4,9,86,544,2,84,191,8233,76,7,52,526,26,91,183,4643,35,3,59,333,50,103,289,9152,64,89,94,33,246,17,530,20,6,27,97,17,229,39,760,24,1,48,111,15,209,33,1082,23,11,3,11279,9,16,19175,181,1441,1,4,17121,31,25,14939,372,919,0,6,16582,18,23,31844,239,217,1
LIZ1_000021313,37,31,8445,6,9241,4429,258,10,516,37,6520,51,12168,2006,225,6,362,66,11152,50,6834,3680,162,18,6,1179,2580,0,461,16,3269,24,2,1180,2072,7,441,10,2206,21,2,854,1553,2,400,16,3631,84,26,503,10,2324,177,1707,65,4,12,495,6,3444,471,1525,87,5,31,388,18,1941,490,2448,101,1,62,3634,30,60,8173,966,4581,1,21,3480,64,58,3964,1216,5579,0,55,2064,39,67,4626,1692,4094,1
LIZ1_000430257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIZ1_000005515,0,12,0,0,0,1,16,39,1,1,0,22,0,1,52,56,0,2,0,79,0,3,16,58,0,0,0,0,2,26,0,9,4,0,0,7,2,19,0,53,1,0,0,6,1,35,0,28,2,0,73,0,1,2,2,9,0,0,22,1,0,0,3,12,0,0,33,0,0,4,14,1,21,0,19,79,0,0,0,0,6,0,30,134,0,0,0,0,17,0,31,68,0,0,0,0
LIZ1_000001245,2,3,3848,0,12060,1,10602,5,5,6,4970,3,9763,3,6079,1,7,16,4082,5,7129,5,7261,2,2,3855,3,2,13889,2,526,2105,1,2633,40,1,15115,4,301,1370,0,3741,5,1,9864,2,610,949,1,2830,4,8,12,2,6,3,3,2704,4,7,2,6,7,1,3,2222,6,7,3,5,5,3,5,11,46,5,3178,4,1832,1,1,8,86,6,1716,20,1166,1,6,6,159,6,2142,2,580,1
LIZ1_000000105,84,43,2,0,4,3,1,7511,165,65,0,2,6,1,2,8375,219,13,6,1,2,2,1,4457,50,3,1,2,3,3,2,112,138,1,3,54,2,3,0,193,74,4,2,3,4,0,1,136,2,1,364,2,465,5,395,9,3,1,137,6,444,2,755,5,14,2,291,0,224,2,698,5,14372,6,234,11150,0,2,2,0,8620,2,254,28474,0,1,1,0,28709,1,253,21125,4,2,1,1
LIZ1_000430113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIZ1_000000674,11,3,830,167,505,369,12583,24,8,3,1646,562,567,293,12635,18,26,4,1352,823,367,210,7887,23,22,2589,63,103,5877,298,169,186,31,2393,142,668,6105,216,204,106,44,2914,75,905,5778,503,238,112,134,5352,421,3285,12,171,23,782,80,4386,157,7079,5,207,28,309,318,4623,304,3768,6,238,45,655,6,135,10,12,94,7334,1785,5,4,152,13,32,81,8490,1293,3,6,142,2,15,92,6960,1956,3
LIZ1_000098108,1994,1368,33,195,130,225,891,1139,6710,1612,137,482,151,173,569,1313,9464,1306,23,510,95,329,730,1029,41,330,915,8,1282,185,268,43,33,22,1233,174,1288,132,323,11,80,322,649,133,1201,148,820,16,138,3438,5243,1040,7331,141,1942,145,81,3426,4676,1454,5777,171,2367,20,109,2291,4932,796,2080,178,4461,23,4764,4863,69,2452,877,510,118,1,1673,3354,54,5115,475,576,78,0,5523,1634,122,3831,980,491,80,1
LIZ1_000429510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIZ1_000000057,1766,1221,90,99,192,338,615,982,3816,1069,263,272,230,212,344,1230,6416,979,132,318,147,434,428,940,178,125,1480,30,662,180,257,458,150,26,2393,262,659,79,363,296,210,348,1658,169,492,194,948,373,654,2164,8433,633,5512,152,1857,69,228,3008,4025,767,4549,215,2733,28,586,1629,4405,477,1782,258,4688,80,4102,3903,624,2066,964,295,175,0,1746,3284,700,4451,675,431,105,1,4755,2716,1175,3191,1120,352,293,0
LIZ1_000000078,151,3880,4,201,26,8,279,2614,2043,1841,7,258,51,3,169,1941,2508,2563,1,246,38,2,209,2456,52,4,1,398,608,32,7,285,130,7,7,548,633,27,3,245,80,9,4,1237,575,51,2,265,29,300,581,7,6442,4,877,323,16,175,219,2,7659,32,1174,168,97,773,482,0,3849,12,2069,233,5987,80,310,8268,3,0,10,0,2690,71,836,21712,0,1,9,1,8636,274,849,12298,6,3,37,2
LIZ1_000391948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIZ1_000386490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIZ1_000005688,4,69,32,513,14,5759,253,65,6,13,20,1455,13,3624,297,49,8,50,93,1781,8,5135,175,134,51,2286,5652,36,77,713,2296,145,40,2162,11720,212,73,734,1183,128,51,2092,5746,707,55,731,2111,119,392,33,487,2145,6,3865,8,151,165,42,270,1986,6,5299,23,115,782,8,680,1215,4,8841,20,138,25,2993,37,51,1940,1058,45,1,20,3020,140,80,1072,1814,45,0,40,1929,49,44,1746,2376,73,1
LIZ1_000000005,497,1502,250,0,450,1,0,2865,5066,414,385,2,478,0,0,2650,9949,825,416,3,296,1,0,2561,0,3,2,0,0,0,1,4227,1,3,1,1,1,2,0,3242,1,1,1,1,2,2,0,2359,5,2,3,0,4548,0,696,2,1,0,1,3,4672,1,944,1,10,1,1,0,2699,2,1744,1,1993,224,4602,6119,3,0,106,1,688,21,8271,14165,1,0,98,0,2457,66,7290,7787,0,0,161,1
LIZ1_000409222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,19,0,0,1,0,0,0,0,24,0,0,1,0,0,0
