id,1,10,11,12,14,15,16,18,19,2,20,21,22,24,25,26,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,45,46,47,48,49,5,50,51,52,53,54,55,56,57,58,59,6,60,61,62,63,64,65,66,67,7,8,9
LZOX_000000001,6183,0,0,0,0,3577,4,0,0,1,0,3559,1,1,0,0,98,0,0,0,143,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2387,0,1
LZOX_000000005,13502,7,2,3,9871,149,7,7172,0,6709,2,623,2,1,2,8,3469,126,10293,268,1,7,2,10,2,3,0,7,0,1116,1,0,7562,6519,2,15,2,0,0,0,1,1,0,0,1,3,0,2,0,0,1,6,1,0,6,0,5653,1,3,12,3,3,1
LZOX_000000006,178,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,7,2,0,1,0,8,2180,241,543,125,359,0,3,0,2,2,119,33,1,10,3,1,0,1,1,2862,0,2,6,0,0,80,256,0,1,0,5,5,119,154,12485,2794,130,0,0
LZOX_000000007,193,0,90,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,3,0,0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
LZOX_000000008,113,0,0,0,0,0,0,0,0,9,0,0,18,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LZOX_000000009,1216,47,89,1,3,12117,9,3,0,563,2,426,1144,2157,0,4,51,0,245,5,0,3,1,7256,1,0,9,0,0,20,13,0,0,0,1,0,0,0,1722,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,1,2,2
LZOX_000000010,393,27,1711,12558,9170,28,15,40,0,6001,16,23273,20779,172,3,12,648,16,2998,12,0,34,2,18,86,12,756,1,1,23161,0,0,0,1,1,1,0,0,86,16,159,0,324,0,2,237,0,0,2,2,1,12459,0,0,154,13,0,200,0,1010,3,59,3
LZOX_000000012,327,40,881,256,39,882,118,223,205,41,378,1,23,8,2323,184,59,7783,72,3992,182,41,419,17,44,1,4,7,225,10,0,0,4,2,0,0,9,0,0,2,31,1,9,0,0,1,0,0,2,15,29,94,974,499,4,94,4,264,8,11,619,232,283
LZOX_000000013,1219,363,3816,2281,7,354,1432,727,1387,3107,2043,49,803,27,1043,432,1020,971,688,917,122,368,689,12,2620,0,1913,231,821,20,5,1,3,0,2,1,0,0,2,1,9095,1,4,2,0,1,0,2,4,4,3,4628,2877,1633,13848,8126,831,29,2,4,528,1330,49
LZOX_000000018,71,0,0,0,0,0,1,38,0,33,0,117,43,0,0,0,29,7,51,1,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
LZOX_000000019,567,2,0,1,8,0,3,62,0,595,0,2,424,0,0,2,2,0,58,8,0,2,0,1,1,0,0,0,5,33,1,3,0,0,0,0,0,1,0,4,0,0,0,12,4,1591,2133,5,1,10,3,0,0,1,0,0,1,1,0,0,0,2,1
LZOX_000000022,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZOX_000000026,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZOX_000000032,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZOX_000000033,43,139,1769,4311,3287,208,1234,5264,2,1438,376,10,1472,712,22,445,8405,105,300,124,83,969,1680,1120,41,4,150,32,14,40,22,0,2,44,29,274,0,3,1304,3877,78,401,1826,122,559,0,1,6,2,983,975,172,3,2,1,0,0,2,139,71,6,226,32
LZOX_000000034,231,25,552,298,23,1,29,220,5,98,29,23,89,55,0,8,914,9,32,17,12,39,30,23,693,178,49,73,20,50,174,128,227,0,13,0,1,0,38,0,130,19,17,189,100,1144,2607,136,534,485,107,103,82,48,190,124,42,72,200,57,1,7,40
LZOX_000000038,21,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZOX_000000039,121,0,13,0,0,74,0,0,0,0,0,79,0,0,0,1,0,0,194,0,0,31,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,4,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0
LZOX_000000042,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZOX_000000045,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZOX_000000047,323,2,13,10,243,64,7,325,3,511,5,39,186,3,4,0,45,295,191,90,0,12,14,7,270,83,301,26,1,189,244,344,423,161,24,55,9,12,823,115,387,48,475,180,222,3033,1425,15,380,374,144,167,257,285,0,1,0,65,2,2,29,10,28
LZOX_000000054,180,15,0,1,1,0,1,60,1,24,9,1,13,1,2,65,234,589,1071,884,0,13,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,453,0,0,0,0,0,0,0,0,0,0,0,8,2,19,29,1,0,0,0,8,5,33
LZOX_000000057,254,545,109,33,5,263,170,171,576,54,998,6,72,115,1062,7744,538,3670,1817,3389,1982,1564,812,5,11,0,58,6,2,33,2,0,0,0,0,0,0,1,2,0,341,1,1,3,0,2,0,1,0,1,0,84,2709,254,3258,4613,185,422,300,36,2585,145,1016
LZOX_000000059,80,3944,308,14,1,435,1387,27,127,325,1426,122,375,455,71,785,83,110,193,832,879,2206,2383,4,0,0,1,1,0,438,0,0,1,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1,1,0,529,253,1129,163,598,6,177,14,2,14,1615,112
LZOX_000000060,214,1,0,0,1,0,2,21,0,292,0,12,21,0,0,0,31,0,142,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,1,0,0
LZOX_000000061,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZOX_000000062,251,45,142,23,3,150,1745,37,18,714,8,19,307,147,8,35,0,40,109,77,5,16,69,1315,132,0,0,0,0,170,0,0,1,0,0,0,0,0,0,0,6183,0,0,0,0,0,0,0,0,0,0,3411,4,3,45,17,1,0,0,0,11,265,11
LZOX_000000064,848,5009,1879,2420,220,277,2154,1114,449,3174,1195,52,1764,2821,2381,657,856,2840,473,3529,1509,4233,4029,556,5283,214,1423,647,1024,1125,1697,1977,3387,280,136,281,59,187,510,398,3125,3649,4867,2419,2292,6359,4473,4712,5034,2742,1600,1850,48,90,258,23,291,614,400,202,740,7086,3273
LZOX_000000070,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZOX_000000079,116,0,0,0,0,0,0,0,2,0,0,91,0,0,0,0,0,0,76,1,16,0,1,0,0,3,5,5,0,0,18,0,1,0,1,0,0,0,15,0,4,0,0,0,2,0,0,0,0,0,22,0,0,0,1,1,0,0,5,0,13,0,1
LZOX_000000080,88,1491,746,974,448,1641,5121,407,83,1954,2114,9,626,115,74,1136,1481,123,462,1334,115,714,1756,2946,195,6,58,15,10,46,93,21,10,29,1,12,0,0,64,180,3913,32,92,18,65,3,1,13,45,866,1340,2326,1,1,1,1,81,296,126,133,15,582,64
LZOX_000000081,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZOX_000000086,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZOX_000000098,46,0,0,1,6,0,3,3,0,18,3,0,2,2,0,12,12,0,15,0,0,0,0,0,26,6,7,0,3,0,1,2,6,3,2,4,0,1,0,0,2,0,0,0,2,0,0,0,0,9,0,1,0,0,0,0,1,0,0,1,0,1,0
LZOX_000000113,86,273,689,1051,123,119,695,273,109,879,1519,6,574,212,74,623,608,145,195,824,205,567,838,1537,1789,23,649,69,346,13,480,17,38,42,3,6,1,0,1,127,1081,159,516,0,28,2,0,1,0,80,65,2968,26,23,59,59,183,457,327,262,12,357,39
LZOX_000000194,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZOX_000000640,4,67,44,5,11,2126,150,24,195,22,665,2,9,1,3761,173,0,1661,8,126,69,30,163,0,0,1,0,0,0,11,0,0,0,0,0,0,13,0,0,0,33,0,0,0,0,0,0,0,0,0,0,6,0,0,0,13,0,0,0,0,979,91,499
LZOX_000000654,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LZOX_000000690,1,0,1,0,1,21,4,0,23,4,17,49,0,1,17,0,2,10,257,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,12,1,0,1,0,0,0,0,0,0,1,3
LZOX_000000817,4,58,1,0,0,5,650,544,42,129,0,2,63,1,81,55,142,820,170,213,1634,1262,1337,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,154,533,65
LZOX_000001242,16,2,0,0,0,0,27,2,12,14,70,0,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
LZOX_000001630,231,11,340,144,3519,61,191,3641,3,777,23,60,246,34,1,10,1318,27,569,90,21,20,27,77,1076,1170,1420,77,1431,12,1716,4685,2603,322,1235,1455,515,171,1639,1292,19,678,2728,304,1560,202,67,130,56,5012,1894,103,12,23,5,21,534,785,4883,1057,1,24,0
LZOX_000001811,268,11,3082,1673,72,843,2870,12,97,385,11,1,68,3971,115,1495,1068,1,46,9,286,6160,7088,13,1765,3,7,1945,178,860,12557,2824,1375,12,3,3,1,0,1,0,5,4,1,2,0,2,1,2,0,11,1,10,5433,6113,9106,10,492,4066,13,4467,10,976,4
LZOX_000002009,29,0,0,1,17,2,3,56,39,118,4,0,0,0,0,2,0,106,43,9,5800,1477,181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1
LZOX_000002083,1,0,2,0,0,2,26,0,1,0,1,0,0,0,42,0,0,0,2,0,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523,0,0,0,0,0,0,0,0,0,0,50,0,0,0,1,0,0,0,0,3,1,1
