id,MIN
LIZ1_000056432,MZP_000002268
LIZ1_000031373,MZP_000000318
LIZ1_000005238,MZP_000000834
LIZ1_000004441,MZP_000000658
LIZ1_000039793,MZP_000002471
LIZ1_000015309,MZP_000000034
LIZ1_000013612,MZP_000000714
LIZ1_000021056,MZP_000001113
LIZ1_000023351,MZP_000000164
LIZ1_000020639,MZP_000001018
LIZ1_000076260,MZP_000000792
LIZ1_000006352,MZP_000000730
LIZ1_000000027,MZP_000002284
LIZ1_000012466,MZP_000002034
LIZ1_000000070,MZP_000002270
LIZ1_000000376,MZP_000000050
LIZ1_000021937,MZP_000000042
LIZ1_000000363,MZP_000000181
LIZ1_000130551,MZP_000000776
LIZ1_000022500,MZP_000000499
LIZ1_000005593,MZP_000000159
LIZ1_000049194,MZP_000000587
LIZ1_000000192,MZP_000001471
LIZ1_000196421,MZP_000002230
LIZ1_000004840,MZP_000000239
LIZ1_000065194,MZP_000000482
LIZ1_000005067,MZP_000000623
LIZ1_000048832,MZP_000000246
LIZ1_000001667,MZP_000002628
LIZ1_000006570,MZP_000000040
LIZ1_000001033,MZP_000000096
LIZ1_000006640,MZP_000000934
LIZ1_000023336,MZP_000000056
LIZ1_000000158,MZP_000002276
LIZ1_000039755,MZP_000000809
LIZ1_000398621,MZP_000003227
LIZ1_000004405,MZP_000000868
LIZ1_000006892,MZP_000000287
LIZ1_000022727,MZP_000000197
LIZ1_000031686,MZP_000000636
LIZ1_000033143,MZP_000000771
LIZ1_000000088,MZP_000002282
LIZ1_000000259,MZP_000000188
LIZ1_000022733,MZP_000000871
LIZ1_000004486,MZP_000000589
LIZ1_000035566,MZP_000000157
LIZ1_000060593,MZP_000000122
LIZ1_000004415,MZP_000000072
LIZ1_000004882,MZP_000002014
LIZ1_000004934,MZP_000000362
LIZ1_000023894,MZP_000000711
LIZ1_000008965,MZP_000003615
LIZ1_000003023,MZP_000000366
LIZ1_000039749,MZP_000000338
LIZ1_000005173,MZP_000001625
LIZ1_000043581,MZP_000000369
LIZ1_000014135,MZP_000000297
LIZ1_000009878,MZP_000000820
LIZ1_000023182,MZP_000000121
LIZ1_000000123,MZP_000002335
LIZ1_000004458,MZP_000000351
LIZ1_000039759,MZP_000002218
LIZ1_000000040,MZP_000002011
LIZ1_000005093,MZP_000001047
LIZ1_000024893,MZP_000000677
LIZ1_000040081,MZP_000003325
LIZ1_000127995,MZP_000002504
LIZ1_000001216,MZP_000000047
LIZ1_000001424,MZP_000002384
LIZ1_000005859,MZP_000000460
LIZ1_000054767,MZP_000000605
LIZ1_000004622,MZP_000002122
LIZ1_000004518,MZP_000000053
LIZ1_000005665,MZP_000001508
LIZ1_000039895,MZP_000002415
LIZ1_000026110,MZP_000002193
LIZ1_000040110,MZP_000000555
LIZ1_000000455,MZP_000000155
LIZ1_000080629,MZP_000000094
LIZ1_000092723,MZP_000002431
LIZ1_000022529,MZP_000003617
LIZ1_000001090,MZP_000000158
LIZ1_000022784,MZP_000000033
LIZ1_000013404,MZP_000002336
LIZ1_000004400,MZP_000001584
LIZ1_000022659,MZP_000000200
LIZ1_000004626,MZP_000003585
LIZ1_000079647,MZP_000003442
LIZ1_000022683,MZP_000000332
LIZ1_000074374,MZP_000001962
LIZ1_000005219,MZP_000000494
LIZ1_000150755,MZP_000000082
LIZ1_000019458,MZP_000002454
LIZ1_000000253,MZP_000001771
LIZ1_000000508,MZP_000005451
LIZ1_000115663,MZP_000002325
LIZ1_000092456,MZP_000001469
LIZ1_000038788,MZP_000002120
LIZ1_000008822,MZP_000000430
LIZ1_000048437,MZP_000000120
LIZ1_000000643,MZP_000002320
LIZ1_000000265,MZP_000000111
LIZ1_000000065,MZP_000005452
LIZ1_000001351,MZP_000000304
LIZ1_000080096,MZP_000002380
LIZ1_000024193,MZP_000000289
LIZ1_000040154,MZP_000003588
LIZ1_000039813,MZP_000002514
LIZ1_000280379,MZP_000000732
LIZ1_000004633,MZP_000000990
LIZ1_000160716,MZP_000000068
LIZ1_000005661,MZP_000003592
LIZ1_000024030,MZP_000000271
LIZ1_000006643,MZP_000002358
LIZ1_000071250,MZP_000000138
LIZ1_000065932,MZP_000000045
LIZ1_000004808,MZP_000001825
LIZ1_000463993,MZP_000000406
LIZ1_000097771,MZP_000000378
LIZ1_000005425,MZP_000002182
LIZ1_000044497,MZP_000005453
LIZ1_000165348,MZP_000000135
LIZ1_000065076,MZP_000001807
LIZ1_000004833,MZP_000000613
LIZ1_000065054,MZP_000000331
LIZ1_000004863,MZP_000000243
LIZ1_000022681,MZP_000000149
LIZ1_000079279,MZP_000000615
LIZ1_000705882,MZP_000005454
LIZ1_000013843,MZP_000005455
LIZ1_000005659,MZP_000000031
LIZ1_000048304,MZP_000002250
LIZ1_000006802,MZP_000003612
LIZ1_000000260,MZP_000000234
LIZ1_000183598,MZP_000005456
LIZ1_000004682,MZP_000000476
LIZ1_000032945,MZP_000003511
LIZ1_000070170,MZP_000000299
LIZ1_000099764,MZP_000000509
LIZ1_000094168,MZP_000000115
LIZ1_000000187,MZP_000000517
LIZ1_000089356,MZP_000000052
LIZ1_000049951,MZP_000000161
LIZ1_000079421,MZP_000000153
LIZ1_000145698,MZP_000003482
LIZ1_000092449,MZP_000002391
LIZ1_000079331,MZP_000000165
LIZ1_000001439,MZP_000000259
LIZ1_000001126,MZP_000000602
LIZ1_000127980,MZP_000000324
LIZ1_000237602,MZP_000000172
LIZ1_000185542,MZP_000002556
LIZ1_000052392,MZP_000002934
LIZ1_000039841,MZP_000001359
LIZ1_000004656,MZP_000000333
LIZ1_000004908,MZP_000003335
LIZ1_000039789,MZP_000002408
LIZ1_000092468,MZP_000003611
LIZ1_000004397,MZP_000002078
LIZ1_000040115,MZP_000003341
LIZ1_000004542,MZP_000002915
LIZ1_000023516,MZP_000001130
LIZ1_000022797,MZP_000002886
LIZ1_000000137,MZP_000000523
LIZ1_000042810,MZP_000000475
LIZ1_000237575,MZP_000000071
LIZ1_000128162,MZP_000002019
LIZ1_000127022,MZP_000000420
LIZ1_000128446,MZP_000000327
LIZ1_000039857,MZP_000001835
LIZ1_000304017,MZP_000002280
LIZ1_000006744,MZP_000000708
LIZ1_000079697,MZP_000000035
LIZ1_000052451,MZP_000000252
LIZ1_000069015,MZP_000000139
LIZ1_000051717,MZP_000000961
LIZ1_000024931,MZP_000000151
LIZ1_000017392,MZP_000002348
LIZ1_000007145,MZP_000002242
LIZ1_000065956,MZP_000000805
LIZ1_000004955,MZP_000000201
