id,MIN
JI01_001709957,MZP_000000509
JI01_001883351,MZP_000000688
JI01_001322722,MZP_000000233
JI01_000721993,MZP_000000167
JI01_000903334,MZP_000000110
JI01_000290162,MZP_000000203
JI01_001721151,MZP_000000197
JI01_001235007,MZP_000000366
JI01_000903313,MZP_000000328
JI01_001135391,MZP_000000299
JI01_001298408,MZP_000000218
JI01_000631794,MZP_000000270
JI01_001790173,MZP_000000362
JI01_000995278,MZP_000000867
JI01_000289645,MZP_000000208
JI01_000270737,MZP_000001580
JI01_000407232,MZP_000000245
JI01_001694507,MZP_000000239
JI01_000598580,MZP_000003456
JI01_001323024,MZP_000000370
JI01_000271614,MZP_000000044
JI01_001671478,MZP_000000241
JI01_000477818,MZP_000003697
JI01_001557462,MZP_000000247
JI01_000357991,MZP_000000267
JI01_000598856,MZP_000000364
JI01_000625451,MZP_000000177
JI01_001769451,MZP_000000223
JI01_001306696,MZP_000000246
JI01_001314546,MZP_000000117
JI01_001450071,MZP_000000305
JI01_001414016,MZP_000000482
JI01_001781954,MZP_000000171
JI01_001299718,MZP_000000260
JI01_000550154,MZP_000000261
JI01_001693012,MZP_000000184
JI01_001323117,MZP_000000424
JI01_001423657,MZP_000000836
JI01_001761480,MZP_000000791
JI01_001882817,MZP_000002380
JI01_001322729,MZP_000000180
JI01_001087749,MZP_000000317
JI01_001186436,MZP_000000198
JI01_001779026,MZP_000000331
JI01_000669416,MZP_000000401
JI01_000427393,MZP_000001003
JI01_000941239,MZP_000000327
JI01_001617802,MZP_000000312
JI01_001371006,MZP_000000262
JI01_001917165,MZP_000000834
JI01_000489912,MZP_000000067
JI01_000002730,MZP_000000723
JI01_000775648,MZP_000002981
JI01_001990136,MZP_000000068
JI01_001884827,MZP_000001962
JI01_001323499,MZP_000000435
JI01_000271189,MZP_000000321
JI01_000630069,MZP_000000259
JI01_000776902,MZP_000000118
JI01_001325305,MZP_000000214
JI01_001433745,MZP_000000344
JI01_000278614,MZP_000000294
JI01_000311828,MZP_000000297
JI01_001684082,MZP_000000116
JI01_000294712,MZP_000000814
JI01_001333973,MZP_000000460
JI01_000274290,MZP_000000217
JI01_001529748,MZP_000000434
JI01_001136467,MZP_000000301
JI01_001671394,MZP_000000149
JI01_001919678,MZP_000002019
JI01_001605920,MZP_000000264
JI01_001445292,MZP_000002817
JI01_000289501,MZP_000000243
JI01_001230389,MZP_000000140
JI01_000274050,MZP_000000410
JI01_000720958,MZP_000000320
JI01_001326375,MZP_000000678
JI01_001885408,MZP_000000724
JI01_001528808,MZP_000000275
JI01_000295977,MZP_000003698
JI01_000342432,MZP_000000238
JI01_001328547,MZP_000000263
JI01_001920411,MZP_000000054
JI01_000775768,MZP_000000153
JI01_001342308,MZP_000000287
JI01_000637102,MZP_000000226
JI01_001323820,MZP_000000589
JI01_001445588,MZP_000000215
JI01_001693668,MZP_000000235
JI01_001088813,MZP_000000293
JI01_001087951,MZP_000000329
JI01_001101681,MZP_000000298
JI01_001251850,MZP_000000409
JI01_001834941,MZP_000000351
JI01_001910978,MZP_000002009
JI01_001694219,MZP_000000224
JI01_000558705,MZP_000003699
JI01_001322992,MZP_000000354
JI01_001325107,MZP_000000130
JI01_000954481,MZP_000000165
JI01_000721984,MZP_000000431
JI01_001528607,MZP_000000444
JI01_000356400,MZP_000003700
JI01_000348067,MZP_000001169
JI01_001412981,MZP_000000363
JI01_001323268,MZP_000000669
JI01_001253028,MZP_000000250
JI01_001278851,MZP_000000251
JI01_000273420,MZP_000000316
JI01_000884970,MZP_000000558
JI01_000785677,MZP_000000285
JI01_000998483,MZP_000000388
JI01_001419370,MZP_000000292
JI01_001137638,MZP_000000404
JI01_000775773,MZP_000000918
JI01_000867495,MZP_000000490
JI01_001346322,MZP_000002020
JI01_000275055,MZP_000000429
JI01_000543255,MZP_000000909
JI01_001090841,MZP_000000517
JI01_001691934,MZP_000000282
JI01_001136382,MZP_000000281
JI01_001186142,MZP_000000188
JI01_000952175,MZP_000000244
JI01_001256084,MZP_000002429
JI01_000355936,MZP_000000254
JI01_000291207,MZP_000000813
JI01_000357447,MZP_000000106
JI01_000406197,MZP_000000314
JI01_001920251,MZP_000001138
JI01_000415044,MZP_000000641
JI01_001414466,MZP_000000339
JI01_000774499,MZP_000000170
JI01_000451467,MZP_000002703
JI01_000503861,MZP_000000917
JI01_001335959,MZP_000000623
JI01_000562669,MZP_000000332
JI01_001413446,MZP_000000338
JI01_001092415,MZP_000000809
JI01_001694931,MZP_000000095
JI01_001187553,MZP_000000743
JI01_000118790,MZP_000000698
JI01_001058360,MZP_000000139
JI01_000898221,MZP_000000272
JI01_001186904,MZP_000000503
JI01_002014120,MZP_000000473
JI01_000998701,MZP_000000526
JI01_001836954,MZP_000000820
JI01_000673529,MZP_000000520
JI01_000720210,MZP_000000682
JI01_001725008,MZP_000000355
JI01_001329648,MZP_000000204
JI01_001882821,MZP_000000979
JI01_000599713,MZP_000000417
JI01_000816617,MZP_000000730
JI01_000356101,MZP_000000656
JI01_000873536,MZP_000002387
JI01_001371734,MZP_000000253
JI01_000352895,MZP_000000156
JI01_001302766,MZP_000000222
JI01_000607143,MZP_000000333
JI01_000281085,MZP_000000400
JI01_001722398,MZP_000000353
JI01_000271308,MZP_000000236
JI01_001352180,MZP_000002855
JI01_000406964,MZP_000000060
JI01_001611526,MZP_000000216
JI01_001535386,MZP_000002252
JI01_000791129,MZP_000000274
JI01_000953214,MZP_000000489
JI01_001771003,MZP_000000624
JI01_000284784,MZP_000002841
JI01_001323348,MZP_000000484
JI01_000492993,MZP_000003701
JI01_000331294,MZP_000000977
JI01_001331021,MZP_000000336
JI01_000356651,MZP_000000211
JI01_001779716,MZP_000000350
JI01_001781268,MZP_000000712
JI01_001590383,MZP_000000521
JI01_000435602,MZP_000000382
JI01_001684189,MZP_000000194
JI01_001920135,MZP_000000268
JI01_001590278,MZP_000000432
JI01_000278459,MZP_000000313
