id,MIN
JI01_000563073,MZP_000002129
JI01_000784397,MZP_000001763
JI01_000244682,MZP_000000170
JI01_000001290,MZP_000000040
JI01_001067410,MZP_000002304
JI01_001078913,MZP_000002305
JI01_000309490,MZP_000000922
JI01_000406730,MZP_000001777
JI01_000235049,MZP_000002306
JI01_000105330,MZP_000000443
JI01_000059164,MZP_000002242
JI01_000100609,MZP_000002262
JI01_000103314,MZP_000000434
JI01_000661586,MZP_000002307
JI01_000016352,MZP_000000001
JI01_000003293,MZP_000000730
JI01_000828036,MZP_000002308
JI01_000105131,MZP_000002250
JI01_000734957,MZP_000002160
JI01_000000304,MZP_000000002
JI01_000001388,MZP_000000029
JI01_000233302,MZP_000000005
JI01_000309488,MZP_000002261
JI01_000138726,MZP_000002309
JI01_000310075,MZP_000000192
JI01_000028642,MZP_000000895
JI01_000319422,MZP_000000179
JI01_000715232,MZP_000001121
JI01_000084370,MZP_000000271
JI01_000167885,MZP_000002310
JI01_000197869,MZP_000002311
JI01_000127488,MZP_000000100
JI01_000331043,MZP_000002312
JI01_000003799,MZP_000000053
JI01_000383201,MZP_000002221
JI01_000314314,MZP_000000138
JI01_000001017,MZP_000000183
JI01_000010857,MZP_000002313
JI01_000720541,MZP_000002314
JI01_000010071,MZP_000000012
JI01_000659003,MZP_000001522
JI01_000807439,MZP_000002315
JI01_000453880,MZP_000002222
JI01_000003456,MZP_000000079
JI01_000000756,MZP_000000123
JI01_000112765,MZP_000002316
JI01_000907867,MZP_000002093
JI01_000524184,MZP_000002197
JI01_000125242,MZP_000000336
JI01_000483281,MZP_000002045
JI01_000001198,MZP_000000836
JI01_000405928,MZP_000002128
JI01_000654854,MZP_000002317
JI01_000100880,MZP_000000433
JI01_000732161,MZP_000000027
JI01_000935874,MZP_000002318
JI01_000109549,MZP_000002319
JI01_000941318,MZP_000000364
JI01_000310295,MZP_000002320
JI01_000016942,MZP_000002279
JI01_000102376,MZP_000002149
JI01_000007287,MZP_000000145
JI01_000956740,MZP_000001062
JI01_000059095,MZP_000000984
JI01_000315546,MZP_000002273
JI01_000309568,MZP_000002254
JI01_000247867,MZP_000000246
JI01_000731629,MZP_000000482
JI01_000535397,MZP_000000234
JI01_000657246,MZP_000002285
JI01_000106773,MZP_000000477
JI01_000000230,MZP_000000074
JI01_000083122,MZP_000002321
JI01_000289703,MZP_000002322
JI01_000003614,MZP_000000811
JI01_000160667,MZP_000000017
JI01_000733711,MZP_000000307
JI01_000088617,MZP_000002174
JI01_000233550,MZP_000000871
JI01_001065472,MZP_000000889
JI01_000100727,MZP_000000126
JI01_000004619,MZP_000000202
JI01_000863667,MZP_000000267
JI01_000000060,MZP_000000354
JI01_000385213,MZP_000002323
JI01_000126383,MZP_000000962
JI01_000110167,MZP_000000219
JI01_000444527,MZP_000001695
JI01_000101027,MZP_000000732
JI01_001066007,MZP_000002324
JI01_000141500,MZP_000000113
JI01_000000016,MZP_000000032
JI01_000563785,MZP_000000594
JI01_000100378,MZP_000000189
JI01_000310018,MZP_000002325
JI01_000309865,MZP_000002278
JI01_000245199,MZP_000001729
JI01_000310269,MZP_000002326
JI01_000729720,MZP_000002268
JI01_000416832,MZP_000002327
JI01_000410181,MZP_000001050
JI01_000731271,MZP_000000328
JI01_000000214,MZP_000000021
JI01_000000133,MZP_000000588
JI01_000314839,MZP_000002328
JI01_000063396,MZP_000000081
JI01_000002050,MZP_000000099
JI01_000008837,MZP_000000019
JI01_000001012,MZP_000000037
JI01_000000017,MZP_000000023
JI01_000000004,MZP_000000413
JI01_000802951,MZP_000000805
JI01_001074663,MZP_000002329
JI01_000017381,MZP_000000168
JI01_000354696,MZP_000000921
JI01_000000359,MZP_000000105
JI01_000772356,MZP_000000884
JI01_000027973,MZP_000000004
JI01_000312597,MZP_000002330
JI01_000655607,MZP_000000150
JI01_001024965,MZP_000000175
JI01_000430983,MZP_000002331
JI01_000002176,MZP_000002332
JI01_000004550,MZP_000000160
JI01_001022340,MZP_000002052
JI01_000032879,MZP_000000658
JI01_000000500,MZP_000000127
JI01_000000019,MZP_000000015
JI01_000233310,MZP_000000149
JI01_000109127,MZP_000000181
JI01_000044130,MZP_000002333
JI01_000012351,MZP_000002096
JI01_000561873,MZP_000001110
JI01_000000024,MZP_000000193
JI01_000047755,MZP_000000115
JI01_000012696,MZP_000000269
JI01_000316019,MZP_000002276
JI01_000238727,MZP_000000049
JI01_000001514,MZP_000000132
JI01_000935933,MZP_000000030
JI01_000158681,MZP_000000312
JI01_000010704,MZP_000000809
JI01_000445289,MZP_000001894
JI01_000556100,MZP_000002256
JI01_000062379,MZP_000000062
JI01_000937774,MZP_000000165
JI01_000197927,MZP_000000593
JI01_000058878,MZP_000001243
JI01_000009317,MZP_000000281
JI01_000243337,MZP_000002334
JI01_000511619,MZP_000000412
JI01_000000928,MZP_000000054
JI01_000244963,MZP_000002034
JI01_000446064,MZP_000002335
JI01_000003856,MZP_000000006
JI01_000000098,MZP_000000010
JI01_000000866,MZP_000000048
JI01_000000716,MZP_000000075
JI01_000003235,MZP_000001766
JI01_000836469,MZP_000000252
JI01_000011615,MZP_000000259
JI01_000125169,MZP_000000424
JI01_000050493,MZP_000002336
JI01_000322861,MZP_000000215
JI01_001014325,MZP_000001940
JI01_000036660,MZP_000002337
JI01_000050042,MZP_000001840
JI01_000002640,MZP_000000090
JI01_000001785,MZP_000000212
JI01_000686142,MZP_000002338
JI01_000403120,MZP_000002339
JI01_000002361,MZP_000000370
JI01_000949463,MZP_000000139
JI01_000746720,MZP_000002297
JI01_000233796,MZP_000002284
JI01_000058988,MZP_000000624
JI01_000107586,MZP_000002218
JI01_000721839,MZP_000002340
JI01_000005031,MZP_000000112
JI01_000000065,MZP_000000540
JI01_000000053,MZP_000001500
JI01_000243674,MZP_000000033
JI01_000033038,MZP_000000026
JI01_000277510,MZP_000002341
JI01_000251645,MZP_000000151
JI01_000000074,MZP_000002291
JI01_000282482,MZP_000000223
JI01_000003989,MZP_000000016
JI01_000312763,MZP_000002280
JI01_000000020,MZP_000002342
JI01_000000103,MZP_000000014
JI01_000000141,MZP_000001628
JI01_000000149,MZP_000000451
JI01_000000165,MZP_000002343
JI01_000000169,MZP_000001944
JI01_000000187,MZP_000001730
JI01_000000189,MZP_000000381
JI01_000000239,MZP_000002344
JI01_000000252,MZP_000000599
JI01_000000269,MZP_000001625
JI01_000000306,MZP_000000589
JI01_000000322,MZP_000002345
JI01_000000536,MZP_000000990
JI01_000000609,MZP_000000824
JI01_000000616,MZP_000002346
JI01_000000665,MZP_000002347
JI01_000000738,MZP_000000810
JI01_000000860,MZP_000000791
JI01_000000996,MZP_000000669
JI01_000001036,MZP_000002348
JI01_000001050,MZP_000002349
JI01_000001346,MZP_000002350
JI01_000001361,MZP_000002351
JI01_000001402,MZP_000002352
JI01_000001433,MZP_000002353
JI01_000001716,MZP_000002185
JI01_000001738,MZP_000000494
JI01_000001835,MZP_000000467
JI01_000001916,MZP_000000553
JI01_000001928,MZP_000002354
JI01_000001958,MZP_000000366
JI01_000001970,MZP_000000201
JI01_000002026,MZP_000000251
JI01_000002160,MZP_000000052
JI01_000002252,MZP_000000684
JI01_000002405,MZP_000002355
JI01_000002780,MZP_000002356
JI01_000002804,MZP_000002357
JI01_000002829,MZP_000001471
JI01_000002950,MZP_000002358
JI01_000003116,MZP_000000802
JI01_000003200,MZP_000002252
JI01_000003292,MZP_000000672
JI01_000003344,MZP_000000440
JI01_000003379,MZP_000000178
JI01_000003415,MZP_000002359
JI01_000003610,MZP_000001623
JI01_000003671,MZP_000000072
JI01_000003717,MZP_000000198
JI01_000003806,MZP_000002360
JI01_000003816,MZP_000002361
JI01_000004299,MZP_000000362
JI01_000004417,MZP_000000264
JI01_000004553,MZP_000002362
JI01_000004782,MZP_000001175
JI01_000004818,MZP_000000315
JI01_000004847,MZP_000002363
JI01_000004965,MZP_000000476
JI01_000005065,MZP_000001063
JI01_000005070,MZP_000002364
JI01_000005100,MZP_000002365
JI01_000005151,MZP_000002366
JI01_000005152,MZP_000002367
JI01_000005292,MZP_000000724
JI01_000005322,MZP_000000084
JI01_000005477,MZP_000001584
JI01_000005812,MZP_000000317
JI01_000006097,MZP_000002368
JI01_000006159,MZP_000001153
JI01_000006323,MZP_000002369
JI01_000006587,MZP_000000613
JI01_000006682,MZP_000002137
JI01_000006806,MZP_000000868
JI01_000007146,MZP_000002020
JI01_000007209,MZP_000000154
JI01_000007244,MZP_000002370
JI01_000007429,MZP_000000342
JI01_000007594,MZP_000002371
JI01_000007893,MZP_000002372
JI01_000008065,MZP_000000351
JI01_000008114,MZP_000002373
JI01_000008629,MZP_000002374
JI01_000008659,MZP_000002375
JI01_000008918,MZP_000001291
JI01_000008955,MZP_000002376
JI01_000009235,MZP_000000481
JI01_000009613,MZP_000002377
JI01_000009623,MZP_000000714
JI01_000009822,MZP_000000977
JI01_000010749,MZP_000000239
JI01_000010779,MZP_000002378
JI01_000010985,MZP_000002379
JI01_000011087,MZP_000001003
JI01_000012100,MZP_000002380
JI01_000012166,MZP_000002381
JI01_000012329,MZP_000002015
JI01_000012350,MZP_000002182
JI01_000012380,MZP_000000363
JI01_000012664,MZP_000002382
JI01_000012765,MZP_000002383
JI01_000013078,MZP_000001571
JI01_000013222,MZP_000001419
JI01_000013291,MZP_000002384
JI01_000013338,MZP_000000511
JI01_000013893,MZP_000000484
JI01_000013948,MZP_000002385
JI01_000014094,MZP_000000623
JI01_000014140,MZP_000002386
JI01_000014158,MZP_000002387
JI01_000014777,MZP_000002388
JI01_000014892,MZP_000002389
JI01_000015011,MZP_000001244
JI01_000015227,MZP_000002131
JI01_000016269,MZP_000002390
JI01_000016921,MZP_000002391
JI01_000017119,MZP_000000319
JI01_000017420,MZP_000001983
JI01_000017510,MZP_000002392
JI01_000017899,MZP_000000820
JI01_000017924,MZP_000000649
JI01_000018437,MZP_000000760
JI01_000018960,MZP_000002393
JI01_000019042,MZP_000002394
JI01_000019345,MZP_000002395
JI01_000019353,MZP_000002396
JI01_000019382,MZP_000002397
JI01_000019518,MZP_000002398
JI01_000019721,MZP_000002399
JI01_000020092,MZP_000002105
JI01_000020102,MZP_000002400
JI01_000020212,MZP_000000171
JI01_000020924,MZP_000000304
JI01_000021044,MZP_000002186
JI01_000021582,MZP_000002401
JI01_000022670,MZP_000000904
JI01_000022673,MZP_000002402
JI01_000022698,MZP_000002403
JI01_000022757,MZP_000000877
JI01_000022764,MZP_000001428
JI01_000023216,MZP_000002404
JI01_000023274,MZP_000002405
JI01_000023598,MZP_000002406
JI01_000025149,MZP_000002407
JI01_000025227,MZP_000000937
JI01_000025306,MZP_000002408
JI01_000025315,MZP_000002409
JI01_000025327,MZP_000002410
JI01_000026116,MZP_000002411
JI01_000026131,MZP_000002412
JI01_000026201,MZP_000001179
JI01_000026369,MZP_000001478
JI01_000027089,MZP_000002413
JI01_000027586,MZP_000001962
JI01_000027605,MZP_000002414
JI01_000027807,MZP_000002415
JI01_000028516,MZP_000002416
JI01_000029925,MZP_000000460
JI01_000031110,MZP_000002417
JI01_000031230,MZP_000002418
JI01_000031515,MZP_000002419
JI01_000031555,MZP_000002420
JI01_000031625,MZP_000002421
JI01_000032007,MZP_000002422
JI01_000033269,MZP_000000688
JI01_000034187,MZP_000000159
JI01_000035556,MZP_000002423
JI01_000035865,MZP_000000028
JI01_000036106,MZP_000002424
JI01_000036127,MZP_000002425
JI01_000038751,MZP_000001824
JI01_000039342,MZP_000002426
JI01_000040176,MZP_000002427
JI01_000040243,MZP_000002428
JI01_000040516,MZP_000002079
JI01_000041445,MZP_000002429
JI01_000042462,MZP_000000009
JI01_000043664,MZP_000002430
JI01_000043938,MZP_000002431
JI01_000044039,MZP_000000285
JI01_000044712,MZP_000002432
JI01_000045272,MZP_000002433
JI01_000045524,MZP_000002434
JI01_000048033,MZP_000002435
JI01_000048058,MZP_000001245
JI01_000048498,MZP_000002436
JI01_000048593,MZP_000002437
JI01_000048867,MZP_000002438
JI01_000050285,MZP_000000940
JI01_000050311,MZP_000002439
JI01_000050448,MZP_000002440
JI01_000052326,MZP_000002441
JI01_000054212,MZP_000002442
JI01_000054267,MZP_000002443
JI01_000054336,MZP_000001196
JI01_000054341,MZP_000000470
JI01_000054442,MZP_000002444
JI01_000054464,MZP_000002445
JI01_000054479,MZP_000000382
JI01_000054483,MZP_000000243
JI01_000054495,MZP_000001884
JI01_000054503,MZP_000002446
JI01_000054530,MZP_000002447
JI01_000054567,MZP_000000711
JI01_000054596,MZP_000002448
JI01_000054603,MZP_000000835
JI01_000054629,MZP_000002449
JI01_000054648,MZP_000000514
JI01_000054656,MZP_000002450
JI01_000054670,MZP_000002451
JI01_000054692,MZP_000000771
JI01_000054772,MZP_000002452
JI01_000054793,MZP_000002453
JI01_000055074,MZP_000002454
JI01_000055108,MZP_000002455
JI01_000055176,MZP_000002456
JI01_000055350,MZP_000001113
JI01_000055400,MZP_000002457
JI01_000055409,MZP_000002458
JI01_000055462,MZP_000002459
JI01_000055464,MZP_000002460
JI01_000055512,MZP_000001645
JI01_000055568,MZP_000002461
JI01_000055601,MZP_000000555
JI01_000055605,MZP_000001957
JI01_000055667,MZP_000002462
JI01_000055723,MZP_000002463
JI01_000055888,MZP_000002464
JI01_000055928,MZP_000002465
JI01_000055930,MZP_000002466
JI01_000055953,MZP_000002467
JI01_000056075,MZP_000002468
JI01_000056121,MZP_000002469
JI01_000056130,MZP_000002470
JI01_000056251,MZP_000002471
JI01_000056260,MZP_000002472
JI01_000056296,MZP_000002473
JI01_000056310,MZP_000002474
JI01_000056355,MZP_000002475
JI01_000056447,MZP_000000430
JI01_000056606,MZP_000002476
JI01_000056615,MZP_000002477
JI01_000056632,MZP_000002478
JI01_000056637,MZP_000001407
JI01_000056663,MZP_000002479
JI01_000056707,MZP_000001349
JI01_000056737,MZP_000002480
JI01_000056903,MZP_000002481
JI01_000056918,MZP_000002482
JI01_000057062,MZP_000001820
JI01_000057247,MZP_000002483
JI01_000057268,MZP_000002484
JI01_000057364,MZP_000001984
JI01_000057651,MZP_000002485
JI01_000057669,MZP_000002486
JI01_000057764,MZP_000002487
JI01_000057982,MZP_000002019
JI01_000057998,MZP_000001495
JI01_000058011,MZP_000000792
JI01_000058014,MZP_000002488
JI01_000058155,MZP_000001098
JI01_000058209,MZP_000000657
JI01_000058406,MZP_000001470
JI01_000058653,MZP_000002489
JI01_000058671,MZP_000001242
JI01_000058675,MZP_000002490
JI01_000058684,MZP_000002491
JI01_000059000,MZP_000002492
JI01_000059556,MZP_000002493
JI01_000059649,MZP_000002494
JI01_000059656,MZP_000002495
JI01_000059659,MZP_000002496
JI01_000059740,MZP_000002497
JI01_000059982,MZP_000002498
JI01_000060125,MZP_000002499
JI01_000060646,MZP_000000764
JI01_000060902,MZP_000002500
JI01_000061003,MZP_000002501
JI01_000061023,MZP_000002502
JI01_000061057,MZP_000001114
JI01_000061068,MZP_000002503
JI01_000061082,MZP_000001359
JI01_000061135,MZP_000002504
JI01_000061140,MZP_000002505
JI01_000061153,MZP_000002506
