id,1.BT,1.PS,10.BT,10.PS,11.BT,11.PS,12.BT,12.PS,13.BT,13.PS,14.BT,14.PS,15.BT,15.PS,2.BT,2.PS,3.BT,3.PS,4.BT,4.PS,5.BT,5.PS,6.BT,6.PS,7.BT,7.PS,8.BT,8.PS,9.BT
LizaZoop_000000218,115,150,4,2,18,14,1,0,171,36,0,2,2,0,6,2,21,7,6,3,97,113,8,7,0,2,0,0,402
LizaZoop_000000231,3,3,32,21,2,0,146,138,295,332,2,5,20,14,744,1332,5,9,725,759,1766,2862,921,1518,5,5,5,4,88
LizaZoop_000000239,6,7,5,2,391,313,1,1,0,2,64,46,1,0,304,988,536,357,1,7,0,1,2,2,2,1,0,2,28
LizaZoop_000000252,0,1,2,3,56,26,0,0,67,93,0,0,0,0,17,27,33,13,0,0,7,13,7,2,0,0,3,0,1
LizaZoop_000000257,1,0,3,2,69,100,0,0,9,36,0,0,3,25,14,11,26,5,0,1,56,116,38,57,0,1,1,0,1
LizaZoop_000000297,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,1,3,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000000321,10,6,12,29,420,1243,26,32,248,173,5,4,0,5,52,77,75,29,4,3,18,33,2,2,1,1,10,14,91
LizaZoop_000000322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0
LizaZoop_000000352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000000404,0,0,0,0,11,9,0,0,0,0,0,0,0,1,0,0,12,27,0,0,0,0,4,6,0,0,0,0,1
LizaZoop_000000410,1,1,1,0,0,0,1,0,0,0,1,16,0,0,0,0,7,4,0,0,0,0,0,1,0,0,0,0,0
LizaZoop_000000439,2,3,0,0,0,0,0,0,0,0,5,3,0,0,0,1,3,5,0,0,0,0,0,1,0,0,0,0,0
LizaZoop_000000441,85,23,1,0,235,576,0,3,0,0,0,1,0,0,27,36,23,22,0,1,1,0,0,0,1,0,0,0,0
LizaZoop_000000442,1,0,6,28,191,178,1,4,3,0,0,0,1,5,5,13,86,29,0,1,1,1,0,1,0,0,0,2,0
LizaZoop_000000450,210,198,3,1,308,420,9,0,1,2,0,0,3,1,1,3,7,3,1,0,1,0,147,171,2,0,108,37,148
LizaZoop_000000468,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000000491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000000520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000000530,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3,1,3,3,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000000551,1,4,0,1,70,67,0,0,0,0,4,1,0,0,0,1,10,5,0,0,0,1,1,0,0,4,2,17,2
LizaZoop_000000615,0,0,0,1,0,0,0,0,0,0,0,3,0,0,15,26,8,7,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000000636,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,13,16,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000000678,0,0,3,2,6,9,47,33,350,320,0,0,29,43,3,2,1,1,1,2,3,3,0,1,0,0,2,1,0
LizaZoop_000000695,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0
LizaZoop_000000737,1,3,12,6,1,1,183,369,206,499,1,1,165,524,8,4,5,3,128,137,5,3,451,420,1,1,4,0,2
LizaZoop_000000746,1,0,0,0,0,0,10,35,2,15,0,0,0,0,0,0,3,0,3,3,1,2,4,18,0,0,0,0,7
LizaZoop_000000832,0,0,10,3,2,0,0,0,3,2,0,1,0,0,1,0,2,0,0,0,0,3,81,49,0,0,0,0,2
LizaZoop_000000863,6,7,254,462,71,292,1227,1060,0,0,0,0,0,1,0,0,18,17,15,6,0,0,0,1,1,1,0,0,21
LizaZoop_000000918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,1,1,2,0,0,0,0,0,0,0
LizaZoop_000000945,82,68,1,0,9,2,298,452,8,28,0,1,786,29,11,34,15,8,249,357,35,40,39,49,1,1,16,22,96
LizaZoop_000000998,0,0,26,19,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000000999,7,3,0,0,9,12,0,0,18,14,0,0,0,0,16,13,7,4,1,2,0,0,2,2,1,1,0,0,0
LizaZoop_000001039,1,0,0,1,9,3,2,0,1,0,0,0,1,0,0,0,6,2,3,4,2,2,97,105,0,0,0,0,1
LizaZoop_000001052,1,0,0,0,0,2,0,0,0,0,9,10,0,0,0,0,9,7,0,0,0,0,2,0,0,0,0,0,0
LizaZoop_000001097,0,2,2,1,0,1,2,2,1,3,12,3,13,9,30,41,4,1,1,0,1,3,0,0,111,122,14,15,1
LizaZoop_000001126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000001172,0,0,4,12,2,4,20,50,17,36,2,1,3,1,15,31,5,2,22,29,2,2,909,916,0,0,1,2,5
LizaZoop_000001310,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000001318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000001435,0,0,0,2,3,3,83,147,1,0,1,0,1,3,24,14,12,16,83,119,0,0,3,7,1,0,0,1,0
LizaZoop_000001440,0,0,0,0,10,79,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
LizaZoop_000001579,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,3,1,0,2,1,0,0,0,0,0,0,0
LizaZoop_000001637,0,0,0,0,14,10,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000001759,2,2,11,0,1,2,4,3,1,3,0,0,0,0,355,367,23,39,62,98,9,8,3,0,1,0,1,1,3
LizaZoop_000001774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000002117,10,17,15,1,1,0,58,31,38,6,1,0,12,12,17,39,3,3,154,187,1,1,0,1,2,0,0,2,0
LizaZoop_000002179,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000002237,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000002378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
