id,MIN
LizaZoop_000007500,MZP_000001244
LizaZoop_000306144,MZP_000001358
LizaZoop_000316618,MZP_000001359
LizaZoop_000453461,MZP_000001360
LizaZoop_000453565,MZP_000001361
LizaZoop_000454062,MZP_000001362
LizaZoop_000454593,MZP_000001363
LizaZoop_000464482,MZP_000001364
LizaZoop_000470751,MZP_000001365
LizaZoop_000474595,MZP_000001366
LizaZoop_000481275,MZP_000001367
LizaZoop_000687484,MZP_000001368
LizaZoop_000690936,MZP_000001369
LizaZoop_000797766,MZP_000001370
LizaZoop_001090404,MZP_000001371
LizaZoop_001875290,MZP_000001372
LizaZoop_000006896,MZP_000001373
LizaZoop_000068964,MZP_000001374
LizaZoop_000086874,MZP_000001375
LizaZoop_000451213,MZP_000001376
LizaZoop_000672137,MZP_000001377
LizaZoop_000733192,MZP_000001378
LizaZoop_000897397,MZP_000000520
LizaZoop_001062209,MZP_000001379
LizaZoop_001065300,MZP_000001380
LizaZoop_001066278,MZP_000001381
LizaZoop_001075943,MZP_000001382
LizaZoop_001076593,MZP_000001383
LizaZoop_001081551,MZP_000001384
LizaZoop_001258541,MZP_000001385
LizaZoop_001480298,MZP_000001386
LizaZoop_001501764,MZP_000001387
LizaZoop_001868540,MZP_000001388
LizaZoop_001875753,MZP_000001389
LizaZoop_001886269,MZP_000001390
LizaZoop_001888300,MZP_000001391
LizaZoop_002234244,MZP_000001392
LizaZoop_002460468,MZP_000001393
LizaZoop_002461099,MZP_000001394
LizaZoop_002468164,MZP_000001395
LizaZoop_002472994,MZP_000001396
LizaZoop_002485945,MZP_000001397
LizaZoop_002493252,MZP_000001398
LizaZoop_000025732,MZP_000001399
LizaZoop_000035635,MZP_000001400
LizaZoop_000088213,MZP_000001401
LizaZoop_000206666,MZP_000001402
LizaZoop_000450275,MZP_000001403
LizaZoop_000453724,MZP_000001404
LizaZoop_000458836,MZP_000001405
LizaZoop_000876573,MZP_000001406
LizaZoop_000972216,MZP_000001407
LizaZoop_001048682,MZP_000001408
LizaZoop_001052027,MZP_000001409
LizaZoop_001055002,MZP_000001410
LizaZoop_001072899,MZP_000001411
LizaZoop_001076215,MZP_000001412
LizaZoop_001088310,MZP_000001413
LizaZoop_001105216,MZP_000001414
LizaZoop_001190852,MZP_000000812
LizaZoop_001371306,MZP_000001415
LizaZoop_001537288,MZP_000001416
LizaZoop_001547068,MZP_000001417
LizaZoop_001673823,MZP_000001418
LizaZoop_001719139,MZP_000001419
LizaZoop_001890002,MZP_000001420
LizaZoop_002224192,MZP_000001421
LizaZoop_002460685,MZP_000001422
LizaZoop_002493451,MZP_000001423
LizaZoop_000002423,MZP_000000361
LizaZoop_000065944,MZP_000001424
LizaZoop_000083963,MZP_000001425
LizaZoop_000233272,MZP_000001426
LizaZoop_000242022,MZP_000001267
LizaZoop_000258897,MZP_000001427
LizaZoop_000299478,MZP_000001428
LizaZoop_000301415,MZP_000001429
LizaZoop_000451269,MZP_000001430
LizaZoop_000451628,MZP_000001431
LizaZoop_000451848,MZP_000001432
LizaZoop_000452852,MZP_000001433
LizaZoop_000475918,MZP_000001434
LizaZoop_000482237,MZP_000001435
LizaZoop_000483694,MZP_000001436
LizaZoop_000484094,MZP_000001437
LizaZoop_000489369,MZP_000001438
LizaZoop_000833925,MZP_000001439
LizaZoop_001055007,MZP_000001440
LizaZoop_001055602,MZP_000001441
LizaZoop_001056550,MZP_000001442
LizaZoop_001058091,MZP_000001443
LizaZoop_001062700,MZP_000001444
LizaZoop_001070450,MZP_000001445
LizaZoop_001075923,MZP_000001446
LizaZoop_001076407,MZP_000001447
LizaZoop_001109355,MZP_000001234
LizaZoop_001353497,MZP_000001448
LizaZoop_001503384,MZP_000001449
LizaZoop_001533970,MZP_000000716
LizaZoop_001869064,MZP_000001450
LizaZoop_001877104,MZP_000001451
LizaZoop_001877242,MZP_000001452
LizaZoop_001877301,MZP_000001453
LizaZoop_002233356,MZP_000001454
LizaZoop_002240454,MZP_000001455
LizaZoop_002460483,MZP_000001456
LizaZoop_002476127,MZP_000001457
LizaZoop_002609850,MZP_000001458
LizaZoop_002670188,MZP_000001459
LizaZoop_000031553,MZP_000000322
LizaZoop_000110232,MZP_000001460
LizaZoop_000152619,MZP_000001461
LizaZoop_000395459,MZP_000000517
LizaZoop_000450462,MZP_000001462
LizaZoop_000451184,MZP_000001463
LizaZoop_000452874,MZP_000001464
LizaZoop_000452880,MZP_000001465
LizaZoop_000453665,MZP_000000348
LizaZoop_000457038,MZP_000000586
LizaZoop_000469071,MZP_000001466
LizaZoop_000470964,MZP_000001467
LizaZoop_000475885,MZP_000001468
LizaZoop_000687087,MZP_000001469
LizaZoop_000687168,MZP_000001470
LizaZoop_000692834,MZP_000000957
LizaZoop_000760675,MZP_000001471
LizaZoop_000769003,MZP_000001472
LizaZoop_000834658,MZP_000001473
LizaZoop_000864059,MZP_000001474
LizaZoop_000872288,MZP_000001475
LizaZoop_000932354,MZP_000001476
LizaZoop_001064692,MZP_000001477
LizaZoop_001065034,MZP_000001478
LizaZoop_001069489,MZP_000001479
LizaZoop_001091016,MZP_000001480
LizaZoop_001103183,MZP_000001481
LizaZoop_001103219,MZP_000001482
LizaZoop_001121494,MZP_000000232
LizaZoop_001300378,MZP_000001483
LizaZoop_001420933,MZP_000000360
LizaZoop_001443985,MZP_000001484
LizaZoop_001538861,MZP_000001485
LizaZoop_001769634,MZP_000000877
LizaZoop_001878305,MZP_000001486
LizaZoop_001979861,MZP_000001487
LizaZoop_002023455,MZP_000001488
LizaZoop_002199936,MZP_000001489
LizaZoop_002240362,MZP_000001490
LizaZoop_002389076,MZP_000001491
LizaZoop_002460414,MZP_000001492
